,U_val,U_err,n_val,n_err,nh_val,nh_err,ns_val,ns_err,nd_val,nd_err,dx,dy,c_dd_val,c_dd_err,c_dh_val,c_dh_err,c_ds_val,c_ds_err,c_hh_val,c_hh_err,c_nd_val,c_nd_err,c_nh_val,c_nh_err,c_nn_val,c_nn_err,c_ns_val,c_ns_err,c_sh_val,c_sh_err,c_ss_val,c_ss_err
0,7.1,0.407,0.00875060761845591,0.002494324516332266,0.9916748216062737,0.0023268559628012025,0.007899749168996075,0.002230115261275373,0.0004254292247299172,0.0004281071875726066,0.0,0.0,0.000382410781209873,0.00037137700919321037,-0.00036519476024932834,0.0003573759892244064,-1.7216020960544616e-05,3.013663007992751e-05,0.0070679838705582695,0.001771288909658029,0.0007476055414592012,0.0007282641998548737,-0.007433178630807741,0.0019307800400981505,0.00818078417226694,0.002394387433490661,0.006685573089348539,0.0016683732898860979,-0.006702789110309083,0.0016740526978149969,0.006720005131269627,0.0016802535132125526
1,7.1,0.407,0.00875060761845591,0.002494324516332266,0.9916748216062737,0.0023268559628012025,0.007899749168996075,0.002230115261275373,0.0004254292247299172,0.0004281071875726066,1.0,0.0,0.0,0.0,-4.0940657712161404e-05,4.7303505155261857e-05,4.094065771216139e-05,4.730350515526185e-05,0.00010513034215650455,0.00020409066222241761,4.094065771216139e-05,4.730350515526185e-05,-0.00014607099986838895,0.00020941055673513547,0.00018701165758054777,0.00022478391254220615,0.00010513034215622497,0.0002040906622224698,-6.418968444406552e-05,0.00020959117047394772,2.3249026731902218e-05,0.00022512032843530905
2,7.1,0.407,0.00875060761845591,0.002494324516332266,0.9916748216062737,0.0023268559628012025,0.007899749168996075,0.002230115261275373,0.0004254292247299172,0.0004281071875726066,1.0,1.0,0.0,0.0,-8.76770998108652e-05,8.97025545329707e-05,8.767709981086513e-05,8.970255453297073e-05,-0.00014918627227180256,0.00019272893360391095,8.767709981086513e-05,8.970255453297073e-05,6.150917246115854e-05,0.00027498532025571626,2.6167927349694426e-05,0.00036080813106652325,-0.0001491862722720359,0.00019272893360376597,0.0002368633720828888,0.0001215115382152212,-0.00032454047189376626,9.208019640670278e-05
3,7.1,0.407,0.00875060761845591,0.002494324516332266,0.9916748216062737,0.0023268559628012025,0.007899749168996075,0.002230115261275373,0.0004254292247299172,0.0004281071875726066,2.0,0.0,0.0,0.0,2.8201440878492002e-05,2.5998199786090555e-05,-2.8201440878492002e-05,2.599819978609053e-05,0.00046864502118907356,0.00034608369986165085,-2.8201440878492002e-05,2.599819978609053e-05,-0.00044044358031060095,0.0003528218211128313,0.0004122421394320717,0.0003613092309658628,0.00046864502118905573,0.0003460836998615147,-0.0004968464620675848,0.00034119851985396415,0.0005250479029460398,0.0003382465748170507
4,7.1,0.407,0.00875060761845591,0.002494324516332266,0.9916748216062737,0.0023268559628012025,0.007899749168996075,0.002230115261275373,0.0004254292247299172,0.0004281071875726066,2.0,1.0,0.0,0.0,1.533692744092889e-05,1.5716569822943283e-05,-1.5336927440928875e-05,1.5716569822943266e-05,-2.141100908008194e-05,0.00016393948007306777,-1.5336927440928875e-05,1.5716569822943266e-05,3.6747936520914e-05,0.00016617996509507005,-5.2084863961843424e-05,0.00016985119842193627,-2.1411009079985677e-05,0.00016393948007306582,6.074081639058602e-06,0.00016318868400797766,9.262845801872095e-06,0.00016394804415997748
5,7.1,0.407,0.00875060761845591,0.002494324516332266,0.9916748216062737,0.0023268559628012025,0.007899749168996075,0.002230115261275373,0.0004254292247299172,0.0004281071875726066,2.0,2.0,0.0,0.0,3.138949569803257e-05,2.146500481973245e-05,-3.138949569803257e-05,2.1465004819732455e-05,0.0006572971609788795,0.0002640423556479897,-3.138949569803257e-05,2.1465004819732455e-05,-0.0006259076652810507,0.00026719578810676064,0.0005945181695830069,0.0002720115910244756,0.000657297160979072,0.00026404235564798776,-0.0006886866566771124,0.0002626111856606801,0.0007200761523751372,0.00026293040325511895
6,7.1,0.407,0.034462316154112264,0.006163816941027944,0.965966835782005,0.006048745561327035,0.03360401228187752,0.005985037778523007,0.0004291519361173718,0.0005650976736384555,0.0,0.0,0.00038126389094971533,0.00047906638053220915,-0.0003185317054628586,0.0004111509659553809,-6.273218548685674e-05,8.490901889008186e-05,0.028790335460733636,0.004776223482004925,0.0006997955964125736,0.0008887574956284039,-0.02910886716619699,0.004876893514147654,0.029808662762609555,0.005174615842970843,0.028409071569784408,0.004729832063236222,-0.02847180375527127,0.004709418370179866,0.028534535940758114,0.0046904531238821144
7,7.1,0.407,0.034462316154112264,0.006163816941027944,0.965966835782005,0.006048745561327035,0.03360401228187752,0.005985037778523007,0.0004291519361173718,0.0005650976736384555,1.0,0.0,0.0,0.0,3.1806302105282136e-05,2.7688500271476835e-05,-3.180630210528216e-05,2.7688500271476852e-05,0.0004771156105466967,0.0004634008280579116,-3.180630210528216e-05,2.7688500271476852e-05,-0.0004453093084415202,0.00045714567244990744,0.0004135030063361989,0.00045250117163279626,0.00047711561054676334,0.0004634008280580262,-0.0005089219126520865,0.0004712024990857153,0.0005407282147573277,0.0004804753572650152
8,7.1,0.407,0.034462316154112264,0.006163816941027944,0.965966835782005,0.006048745561327035,0.03360401228187752,0.005985037778523007,0.0004291519361173718,0.0005650976736384555,1.0,1.0,0.0,0.0,-1.3801616784445356e-05,5.6988185894340886e-05,1.3801616784445343e-05,5.698818589434089e-05,-0.0003970699037207962,0.0006251374339829656,1.3801616784445343e-05,5.698818589434089e-05,0.00038326828693610175,0.0006610813898755351,-0.0003694666701516711,0.0006998254806562898,-0.0003970699037205618,0.0006251374339829614,0.0004108715205049916,0.0005925034391097471,-0.0004246731372894527,0.0005637545086383077
9,7.1,0.407,0.034462316154112264,0.006163816941027944,0.965966835782005,0.006048745561327035,0.03360401228187752,0.005985037778523007,0.0004291519361173718,0.0005650976736384555,2.0,0.0,0.0,0.0,-6.556649371484586e-05,8.501159755112553e-05,6.556649371484582e-05,8.501159755112554e-05,0.0011764879177650716,0.0008211220569108308,6.556649371484582e-05,8.501159755112554e-05,-0.0012420544114799708,0.0007974373535387263,0.0013076209051948095,0.000782320379850083,0.001176487917765117,0.0008211220569107313,-0.0011109214240502814,0.0008526608207887561,0.0010453549303354257,0.000891220209436141
