,U_val,mu_val,mu_err,n_val,n_err,kappa_val,kappa_err,nd_val,nd_err
0,7.1,-1.671631689,0.00260057,0.000811068,0.00082519,0.000572054,0.001632815,2.5199140558733297e-05,0.000135702
1,7.1,-1.53867923,0.003038922,0.001343704,0.001225807,0.000526228,0.000838509,0.000525205,0.000585591
2,7.1,-1.411376399,0.001876462,0.001783279,0.001158791,0.001655564,0.001419044,0.000289554,0.000459318
3,7.1,-1.275753119,0.001734819,0.004405182,0.00214318,0.015778339,0.002004217,0.000174336,0.000306112
4,7.1,-1.145568556,0.001145051,0.031468036,0.003950137,0.073218437,0.00754935,0.000852733,0.000609151
5,7.1,-1.020166496,0.002184855,0.13705652295611148,0.016674983386260583,0.1514070475964257,0.005841643,0.001564831,0.000615063
6,7.1,-0.891509021,0.002791959,0.3038328318970912,0.010384084,0.1678657759600888,0.008414713,0.004147131,0.001308467
7,7.1,-0.761636303,0.00250223,0.44430650240325364,0.010070792958842811,0.1309166649891069,0.009035463,0.008342191,0.001847738
8,7.1,-0.631187135,0.002057199,0.5451155851941905,0.014299936382951179,0.11839377558218481,0.007986667,0.015028744794953813,0.002222605
9,7.1,-0.499683323,0.001967389,0.663859217,0.012649918424951407,0.1119310746861048,0.007726191,0.019802067,0.003060867
10,7.1,-0.365740035,0.001645612,0.7554919560294563,0.008397309,0.12061632792473344,0.008273611,0.030934181,0.003131364
11,7.1,-0.23471991,0.001365773,0.8901000015440425,0.008508401,0.1120542903341292,0.006001897,0.048148362,0.003709615
12,7.1,-0.106360133,0.001727018,0.961269607,0.011751837159038998,0.076985421,0.006888468,0.063708853,0.005979618
13,7.1,0.024426755,0.001102951,1.031360586860545,0.010030250238474684,0.068993383,0.009077785,0.1054261921569132,0.004923907
14,7.1,0.1545330174316314,0.001361317,1.0886994504782272,0.00998256,0.077874715,0.008853171,0.14537365446982864,0.008246015
15,7.1,0.2840225360855959,0.001802846,1.174468009506507,0.012278975,0.089136054,0.007948984,0.22925293140748748,0.010569944312009165
16,7.1,0.41604826981578685,0.001123302,1.2537557001407345,0.011976488677488512,0.080880918,0.009963137,0.31838931135153836,0.008070404
17,7.1,0.5470242711459268,0.001777777,1.3250973491984426,0.011259715305897035,0.076846599,0.018528211300149786,0.40546134167411585,0.010321495744565323
18,11.79,-1.374485244,0.002473752,0,0,0.001419917,0.00075042,0,0
19,11.79,-1.253992265,0.002115811,0.002017154,0.001067151,0.002319489,0.000637095,0,0
20,11.79,-1.13805913,0.00240704,0.006458828,0.001776882,0.013243678707622901,0.001723814,0,0
21,11.79,-1.031069865,0.001125069,0.036784753,0.004530896,0.038879590183099916,0.001971197,0.000850346,0.000498199
